CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2,comb,central,0,-2.4,2.4,20,1000,0,1,0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))) , 
2,comb,down,1,-2.4,2.4,20,30,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.11806446313858032 , 
2,comb,down,1,-2.4,2.4,30,50,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.054699532687664032 , 
2,comb,down,1,-2.4,2.4,50,70,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.047356218099594116 , 
2,comb,down,1,-2.4,2.4,70,100,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.047634456306695938 , 
2,comb,down,1,-2.4,2.4,100,140,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.04632849246263504 , 
2,comb,down,1,-2.4,2.4,140,200,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.048323042690753937 , 
2,comb,down,1,-2.4,2.4,200,300,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.068715795874595642 , 
2,comb,down,1,-2.4,2.4,300,600,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.10824859887361526 , 
2,comb,down,1,-2.4,2.4,600,1000,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.18500012159347534 , 
2,comb,down,0,-2.4,2.4,20,30,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.033732704818248749 , 
2,comb,down,0,-2.4,2.4,30,50,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.01562843844294548 , 
2,comb,down,0,-2.4,2.4,50,70,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.013530348427593708 , 
2,comb,down,0,-2.4,2.4,70,100,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.013609844259917736 , 
2,comb,down,0,-2.4,2.4,100,140,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.013236711733043194 , 
2,comb,down,0,-2.4,2.4,140,200,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.013806583359837532 , 
2,comb,down,0,-2.4,2.4,200,300,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.019633084535598755 , 
2,comb,down,0,-2.4,2.4,300,600,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.030928170308470726 , 
2,comb,down,0,-2.4,2.4,600,1000,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))-0.052857179194688797 , 
2,comb,up,1,-2.4,2.4,20,30,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.11806446313858032 , 
2,comb,up,1,-2.4,2.4,30,50,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.054699532687664032 , 
2,comb,up,1,-2.4,2.4,50,70,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.047356218099594116 , 
2,comb,up,1,-2.4,2.4,70,100,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.047634456306695938 , 
2,comb,up,1,-2.4,2.4,100,140,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.04632849246263504 , 
2,comb,up,1,-2.4,2.4,140,200,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.048323042690753937 , 
2,comb,up,1,-2.4,2.4,200,300,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.068715795874595642 , 
2,comb,up,1,-2.4,2.4,300,600,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.10824859887361526 , 
2,comb,up,1,-2.4,2.4,600,1000,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.18500012159347534 , 
2,comb,up,0,-2.4,2.4,20,30,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.033732704818248749 , 
2,comb,up,0,-2.4,2.4,30,50,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.01562843844294548 , 
2,comb,up,0,-2.4,2.4,50,70,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.013530348427593708 , 
2,comb,up,0,-2.4,2.4,70,100,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.013609844259917736 , 
2,comb,up,0,-2.4,2.4,100,140,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.013236711733043194 , 
2,comb,up,0,-2.4,2.4,140,200,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.013806583359837532 , 
2,comb,up,0,-2.4,2.4,200,300,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.019633084535598755 , 
2,comb,up,0,-2.4,2.4,300,600,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.030928170308470726 , 
2,comb,up,0,-2.4,2.4,600,1000,0,1,(0.817647*((1.+(0.038703*x))/(1.+(0.0312388*x))))+0.052857179194688797" 
